;Unnamed: 0;Word;Paragraph;Stage;Idiom;Type
1524;1524;while;344;5.0;False;subordinating conjunction
1525;1525;earn;345;5.0;False;verb
1526;1526;formal;345;5.0;False;adjective
1527;1527;how do you do?;345;5.0;False;subordinating conjunction
1528;1528;informal;345;5.0;False;adjective
1529;1529;jeans;345;5.0;False;noun
1530;1530;trainer;345;5.0;False;noun
1531;1531;basin;346;5.0;False;noun
1532;1532;bath;346;5.0;False;noun
1533;1533;bathroom;346;5.0;False;noun
1534;1534;exciting;346;5.0;False;adjective
1535;1535;grammatically;346;5.0;False;adverb
1536;1536;hairdresser;346;5.0;False;verb
1537;1537;interesting;346;5.0;False;adjective
1538;1538;persuade;346;5.0;False;noun
1539;1539;shower;346;5.0;False;verb
1540;1540;so = very;346;5.0;False;adverb
1541;1541;toilet;346;5.0;False;noun
1542;1542;active;347;5.0;False;adjective
1543;1543;active and passive voice;347;5.0;False;adjective
1544;1544;mirror;347;5.0;False;noun
1545;1545;object;347;5.0;False;noun
1546;1546;passive;347;5.0;False;adjective
1547;1547;reflect;347;5.0;False;verb
1548;1548;subject;347;5.0;False;noun
1549;1549;by;348;5.0;False;adposition
1550;1550;to be + past participle;348;5.0;False;particle
1551;1551;biscuit;350;5.0;False;verb
1552;1552;break;350;5.0;False;verb
1553;1553;crisps;350;5.0;False;noun
1554;1554;force;350;5.0;False;noun
1555;1555;make somebody do ...;350;5.0;False;verb
1556;1556;snack;350;5.0;False;noun
1557;1557;to be born;350;5.0;False;particle
1558;1558;memory;351;5.0;False;noun
1559;1559;murder;351;5.0;False;noun
1560;1560;prison;351;5.0;False;noun
1561;1561;pupil;351;5.0;False;noun
1562;1562;root;351;5.0;False;noun
1563;1563;another contraction of the verb to be;352;5.0;False;determiner
1564;1564;cross;352;5.0;False;verb
1565;1565;lay;353;5.0;False;verb
1566;1566;on your own;353;5.0;False;adposition
1567;1567;safe;353;5.0;False;adjective
1568;1568;safety;353;5.0;False;noun
1569;1569;think of;353;5.0;False;verb
1570;1570;customer;354;5.0;False;noun
1571;1571;gentleman;354;5.0;False;noun
1572;1572;lady;354;5.0;False;proper noun
1573;1573;madam;354;5.0;False;noun
1574;1574;officer;354;5.0;False;noun
1575;1575;sir;354;5.0;False;proper noun
1576;1576;title;354;5.0;False;noun
1577;1577;colourful;355;5.0;False;adjective
1578;1578;height;355;5.0;False;noun
1579;1579;standard;355;5.0;False;noun
1580;1580;look + adjective;356;5.0;False;verb
1581;1581;opinion;356;5.0;False;noun
1582;1582;would you say;356;5.0;False;auxiliary
1583;1583;countryside;357;5.0;False;noun
1584;1584;crowd;357;5.0;False;verb
1585;1585;crowded;357;5.0;False;verb
1586;1586;fare;357;5.0;False;proper noun
1587;1587;get in;357;5.0;False;verb
1588;1588;get off;357;5.0;False;verb
1589;1589;get on;357;5.0;False;verb
1590;1590;get out of;357;5.0;False;verb
